#X,Y,X_true,Y_true,Phi,V,Zx,Zy,
-8.95462,14.0159,-8.92212,14.416,4.32549,1.53511,-8.95261,14.1443,
-8.99704,13.926,-8.96583,14.3261,4.33549,1.53511,-8.99633,14.0544,
-9.03857,13.8356,-9.00864,14.2357,4.34549,1.53511,-9.03914,13.964,
-9.07918,13.7448,-9.05055,14.1449,4.3555,1.53511,-9.08104,13.8732,
-9.11889,13.6536,-9.09154,14.0537,4.3655,1.53511,-9.12203,13.782,
-9.15769,13.5621,-9.13162,13.9621,4.3755,1.53511,-9.16211,13.6904,
-9.19556,13.4701,-9.17078,13.8701,4.3855,1.53511,-9.20128,13.5983,
-9.23252,13.3778,-9.20902,13.7777,4.39551,1.53511,-9.23952,13.5059,
-9.26855,13.2851,-9.24634,13.6849,4.40551,1.53511,-9.27683,13.4132,
-9.30365,13.192,-9.28272,13.5917,4.41551,1.53511,-9.31321,13.32,
-9.33782,13.0986,-9.31817,13.4982,4.42551,1.53511,-9.34866,13.2265,
-9.37105,13.0049,-9.35269,13.4044,4.43552,1.53511,-9.38318,13.1327,
-9.40335,12.9108,-9.38626,13.3102,4.44552,1.53511,-9.41675,13.0385,
-9.4347,12.8164,-9.41889,13.2156,4.45552,1.53511,-9.44938,12.9439,
-9.46511,12.7217,-9.45057,13.1208,4.46552,1.53511,-9.48107,12.8491,
-9.49457,12.6267,-9.48131,13.0256,4.47552,1.53511,-9.5118,12.7539,
-9.52307,12.5314,-9.51109,12.9302,4.48553,1.53511,-9.54158,12.6585,
-9.55063,12.4359,-9.53991,12.8344,4.49553,1.53511,-9.5704,12.5627,
-9.57722,12.34,-9.56778,12.7384,4.50553,1.53511,-9.59827,12.4667,
-9.60286,12.2439,-9.59468,12.6421,4.51553,1.53511,-9.62517,12.3704,
-9.62753,12.1476,-9.62062,12.5455,4.52553,1.53511,-9.65111,12.2738,
-9.65124,12.051,-9.64559,12.4487,4.53553,1.53511,-9.67608,12.177,
-9.67398,11.9542,-9.66959,12.3516,4.54554,1.53511,-9.70009,12.0799,
